GRADE,VD/NVD,Batch Number,Date,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2,GRADE_KEY,C_Target,Mn_Target,Si_Target,Al_Target,C_Min,C_Max,Mn_Min,Mn_Max,Si_Min,Si_Max,Al_Min,Al_Max,N_Max,S_Max,Carbon_Gap,Mn_Gap,Si_Gap,Al_Gap,Mean_Oxygen,Samples
S275HS,NVD,4615164.0,,89.0,1580.0,1505.0,110.0,2300.0,25.0,3868.0,0.078,0.5,0.0719,0.0879,0.021,51.0,280.05,0.031,0.166,0.82,0.014,0.2049,66.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
S275HS,NVD,4615165.0,,102.0,1585.0,1505.0,110.0,2150.0,25.0,3991.0,0.092,0.46,0.081,0.078,0.034,51.0,263.55,0.022,0.164,0.82,0.006,0.214,61.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
S275HS,NVD,4615166.0,,102.0,1580.0,1505.0,110.0,2000.0,25.0,4122.0,0.073,0.46,0.078,0.07,0.006,51.0,351.0,0.031,0.169,0.87,0.0129,0.245,67.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
S275HS,NVD,4615167.0,,103.0,1575.0,1505.0,110.0,1850.0,25.0,3889.0,0.085,0.59,0.07,0.107,0.005,48.0,344.4,0.034,0.153,0.82,0.007,0.189,64.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
S275HS,NVD,4615168.0,,101.0,1575.0,1505.0,178.0,1800.0,25.0,3892.0,0.082,0.63,0.082,0.124,0.015,54.0,382.7,0.036,0.173,0.84,0.0089,0.195,67.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
S275HS,NVD,4615169.0,,102.0,1575.0,1505.0,132.0,1950.0,25.0,4127.0,0.084,0.65,0.0719,0.128,0.023,54.0,349.9,0.036,0.173,0.83,0.007,0.262,66.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
S275HS,NVD,4615170.0,,101.0,1575.0,1505.0,110.0,1550.0,25.0,3661.0,0.114,0.66,0.063,0.138,0.027,54.0,235.5,0.033,0.166,0.85,0.0109,0.187,64.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
S275HS,NVD,4615171.0,,98.0,1575.0,1505.0,178.0,1600.0,25.0,3605.0,0.086,0.67,0.0739,0.1469,0.054,51.0,366.2,0.031,0.164,0.81,0.007,0.217,64.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
S275HS,NVD,4615172.0,,100.0,1575.0,1505.0,178.0,1500.0,25.0,3796.0,0.084,0.67,0.0709,0.132,0.028,51.0,353.0,0.029,0.15,0.83,0.006,0.1749,47.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
FE550DLMH,NVD,4615173.0,,98.0,1620.0,1505.0,110.0,1250.0,25.0,3881.0,0.109,0.69,0.07,0.1429,0.026,48.0,153.0,0.007,0.187,0.82,0.0109,0.191,61.0,FE550DLMH,,,,,,,,,,,,,,,,,,,436.781728873635,
S275HS,NVD,4615174.0,,100.0,1573.0,1505.0,110.0,1500.0,25.0,4057.0,0.098,0.67,0.068,0.155,0.033,55.0,291.6,0.036,0.168,0.83,0.0089,0.182,67.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
S275HS,NVD,4615175.0,,103.0,1583.0,1505.0,110.0,1400.0,25.0,4221.0,0.13,0.64,0.07,0.154,0.037,41.0,202.5,0.042,0.172,0.83,0.0149,0.186,67.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
FE550DLMH,NVD,4615176.0,,106.0,1590.0,1505.0,132.0,1400.0,25.0,4157.0,0.088,0.64,0.064,0.1429,0.053,60.0,142.0,0.02,0.164,0.77,0.0439,0.1799,61.0,FE550DLMH,,,,,,,,,,,,,,,,,,,436.781728873635,
FE550DLMH,NVD,4615177.0,,110.0,1590.0,1505.0,154.0,1600.0,25.0,2744.0,0.057,0.52,0.0749,0.064,0.056,45.0,527.0,0.008,0.174,0.85,0.0219,0.199,71.0,FE550DLMH,,,,,,,,,,,,,,,,,,,436.781728873635,
FE550DLMH,NVD,4615178.0,,96.0,1585.0,1505.0,132.0,1250.0,25.0,4442.0,0.049,0.67,0.066,0.132,0.013,64.0,191.5,0.004,0.207,0.85,0.014,0.2099,70.0,FE550DLMH,,,,,,,,,,,,,,,,,,,436.781728873635,
JSPHTHSV,NVD,4615179.0,,97.0,1615.0,1505.0,132.0,1650.0,25.0,4149.0,0.086,1.05,0.0739,0.1779,0.111,61.0,217.9,0.029,0.177,1.32,0.008,0.196,67.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.104,0.2749999999999999,0.0221,,445.4,35.0
JSPHTHSV(VD),VD,4615180.0,,101.0,1580.0,1505.0,132.0,1600.0,25.0,3696.0,0.1,1.03,0.065,0.17,0.092,47.0,191.5,0.039,0.182,1.35,0.004,0.2079,58.0,JSPHTHSVVD,,,,,,,,,,,,,,,,,,,290.0,1.0
JSPHTHSV(VD),VD,4615181.0,,104.0,1565.0,1505.0,132.0,1650.0,25.0,3733.0,0.111,0.98,0.0739,0.1749,0.065,53.0,257.5,0.032,0.192,1.33,0.004,0.17,61.0,JSPHTHSVVD,,,,,,,,,,,,,,,,,,,290.0,1.0
JSPHTHSV(VD),VD,4615182.0,,98.0,1566.0,1505.0,132.0,1550.0,25.0,4108.0,0.1,1.08,0.07,0.188,0.081,50.0,224.5,0.035,0.177,1.35,0.006,0.185,67.0,JSPHTHSVVD,,,,,,,,,,,,,,,,,,,290.0,1.0
JSPHTHSV(VD),VD,4615183.0,,105.0,1562.0,1505.0,132.0,1350.0,25.0,3612.0,0.079,0.85,0.0719,0.129,0.095,51.0,233.41,0.029,0.188,1.33,0.008,0.151,61.0,JSPHTHSVVD,,,,,,,,,,,,,,,,,,,290.0,1.0
FE550DLMH,NVD,4615184.0,,102.0,1620.0,1505.0,0.0,1550.0,25.0,3522.0,0.1,0.62,0.0599,0.115,0.037,47.0,10.0,0.005,0.197,0.86,0.0109,0.169,68.0,FE550DLMH,,,,,,,,,,,,,,,,,,,436.781728873635,
FE550DLMH,NVD,4615185.0,,101.0,1580.0,1505.0,110.0,1600.0,25.0,3981.0,0.068,0.62,0.0519,0.117,0.047,54.0,120.0,0.005,0.192,0.84,0.007,0.1779,64.0,FE550DLMH,,,,,,,,,,,,,,,,,,,436.781728873635,
JSPHTHSV,NVD,4615186.0,,100.0,1580.0,1505.0,110.0,1350.0,25.0,3795.0,0.061,0.62,0.0599,0.113,0.034,54.0,317.67,0.031,0.177,1.32,0.007,0.195,67.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.129,0.705,0.087,,445.4,35.0
JSPHTHSV,NVD,4615187.0,,97.0,1570.0,1505.0,110.0,1650.0,25.0,4505.0,0.089,0.59,0.0749,0.124,0.032,60.0,255.63,0.041,0.183,1.3,0.008,0.2129,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.101,0.735,0.076,,445.4,35.0
FE550DLMH,NVD,4615188.0,,101.0,1580.0,1505.0,110.0,1400.0,25.0,4510.0,0.069,0.62,0.066,0.099,0.01,54.0,186.0,0.014,0.175,0.82,0.025,0.2079,61.0,FE550DLMH,,,,,,,,,,,,,,,,,,,436.781728873635,
