GRADE,VD/NVD,Batch Number,Date,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2,GRADE_KEY,C_Target,Mn_Target,Si_Target,Al_Target,C_Min,C_Max,Mn_Min,Mn_Max,Si_Min,Si_Max,Al_Min,Al_Max,N_Max,S_Max,Carbon_Gap,Mn_Gap,Si_Gap,Al_Gap,Mean_Oxygen,Samples
JSPHTHSV,NVD,4615189.0,,102.0,1570.0,1505.0,110.0,1500.0,25.0,3776.0,0.085,0.89,0.07,0.135,0.048,53.0,240.45,0.025,0.191,1.35,0.008,0.222,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.105,0.4349999999999999,0.065,,445.4,35.0
JSPHTHSV,NVD,4615190.0,,102.0,1575.0,1505.0,110.0,1550.0,25.0,3833.0,0.086,0.91,0.0919,0.125,0.006,53.0,336.15,0.038,0.173,1.32,0.0179,0.225,63.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.104,0.4149999999999999,0.075,,445.4,35.0
JSPHTHSV,NVD,4615191.0,,99.0,1569.0,1505.0,110.0,1500.0,25.0,3499.0,0.122,0.99,0.08,0.158,0.027,54.0,288.3,0.033,0.188,1.33,0.01,0.203,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.068,0.3349999999999999,0.042,,445.4,35.0
FE550DLMH,NVD,4615192.0,,101.0,1610.0,1505.0,132.0,1350.0,25.0,3889.0,0.062,0.62,0.0769,0.1029,0.008,54.0,250.9,0.007,0.19,0.82,0.0129,0.2119,66.0,FE550DLMH,,,,,,,,,,,,,,,,,,,436.781728873635,
FE550DLMH,NVD,4615193.0,,98.0,1578.0,1505.0,132.0,1400.0,25.0,3960.0,0.068,0.69,0.0759,0.0749,0.002,54.0,300.4,0.005,0.195,0.86,0.0179,0.195,66.0,FE550DLMH,,,,,,,,,,,,,,,,,,,436.781728873635,
FE550DLMH,NVD,4615194.0,,98.0,1580.0,1505.0,132.0,1150.0,25.0,4110.0,0.071,0.61,0.0749,0.104,0.035,51.0,215.26,0.018,0.184,0.8,0.016,0.269,63.0,FE550DLMH,,,,,,,,,,,,,,,,,,,436.781728873635,
S275HS,NVD,4615195.0,,100.0,1610.0,1505.0,110.0,1300.0,25.0,3770.0,0.066,0.58,0.0729,0.111,0.067,54.0,219.0,0.035,0.167,0.83,0.0089,0.222,64.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
FE550DLMH,NVD,4615196.0,,102.0,1580.0,1505.0,132.0,1300.0,25.0,4075.0,0.057,0.53,0.069,0.0919,0.059,51.0,215.26,0.008,0.192,0.83,0.0109,0.168,66.0,FE550DLMH,,,,,,,,,,,,,,,,,,,436.781728873635,
S275HS,NVD,4615197.0,,98.0,1580.0,1505.0,178.0,1200.0,25.0,442.0,0.081,0.52,0.0599,0.111,0.101,51.0,254.0,0.04,0.17,0.83,0.006,0.201,60.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
FE550DLMH,NVD,4615198.0,,101.0,1585.0,1505.0,178.0,1600.0,25.0,3881.0,0.079,0.58,0.07,0.128,0.056,44.0,206.15,0.014,0.2,0.85,0.0149,0.199,57.0,FE550DLMH,,,,,,,,,,,,,,,,,,,436.781728873635,
