GRADE,VD/NVD,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2
FE550DLMH,NVD,97.0,1580.0,1505.0,132.0,1200.0,25.0,3149.0,0.059,0.42,0.063,0.081,0.034,44.0,132.0,0.004,0.185,0.83,0.0129,0.1789,57.0
FE550DLMH,NVD,100.0,1584.0,1505.0,132.0,1100.0,25.0,3519.0,0.114,0.72,0.0599,0.162,0.102,58.0,132.0,0.012,0.191,0.83,0.006,0.2049,68.0
JSPMMnCU,NVD,99.0,1610.0,1505.0,110.0,1400.0,25.0,3402.0,0.06,0.63,0.068,0.1749,0.019,47.0,238.7,0.026,0.167,0.84,0.01,0.2909,64.0
JSPMMnCU,NVD,104.0,1572.0,1505.0,110.0,1350.0,25.0,3324.0,0.09,0.61,0.069,0.171,0.022,53.0,285.56,0.037,0.156,0.8,0.004,0.2879,66.0
FE550DLH,NVD,99.0,1578.0,1505.0,110.0,1000.0,25.0,3472.0,0.097,0.72,0.0609,0.1419,0.048,54.0,110.0,0.009,0.153,0.74,0.005,0.2439,71.0
JSPMMnCU,NVD,104.0,1578.0,1505.0,110.0,1100.0,50.0,4146.0,0.107,0.6,0.068,0.203,0.005,63.0,242.0,0.04,0.163,0.84,0.006,0.338,64.0
JSPMMnCU,NVD,103.0,1610.0,1505.0,110.0,1400.0,25.0,3811.0,0.108,0.64,0.069,0.216,0.023,44.0,275.0,0.026,0.162,0.82,0.004,0.32,74.0
FE550DLMH,NVD,105.0,1618.0,1505.0,110.0,1300.0,25.0,3795.0,0.101,0.65,0.062,0.187,0.027,47.0,159.5,0.013,0.194,0.83,0.008,0.25,68.0
FE550DLMH,NVD,100.0,1578.0,1600.0,110.0,1500.0,25.0,3191.0,0.116,0.6,0.0529,0.136,0.003,57.0,209.0,0.008,0.192,0.84,0.01,0.2429,71.0
FE550DLMH,NVD,96.0,1580.0,1505.0,110.0,1300.0,25.0,4350.0,0.062,0.67,0.0529,0.128,0.003,57.0,151.25,0.013,0.187,0.85,0.0089,0.171,74.0
JSPMMnCU,NVD,96.0,1575.0,1505.0,110.0,1300.0,25.0,3814.0,0.055,0.6,0.065,0.1459,0.024,64.0,225.5,0.036,0.153,0.82,0.0089,0.3009,64.0
FE550DLMH,NVD,97.0,1584.0,1505.0,110.0,1600.0,25.0,3595.0,0.062,0.62,0.0749,0.131,0.021,64.0,176.0,0.019,0.178,0.83,0.024,0.216,71.0
JSPMMnCU,NVD,95.0,1574.0,1505.0,110.0,1000.0,25.0,3297.0,0.101,0.71,0.07,0.23,0.087,61.0,149.6,0.045,0.161,0.85,0.014,0.279,68.0
JSPMMnCU,NVD,91.0,1574.0,1505.0,132.0,1200.0,25.0,3823.0,0.117,0.75,0.069,0.227,0.063,47.0,207.9,0.037,0.142,0.82,0.01,0.2439,70.0
JSPMMnCU,NVD,96.0,1585.0,1505.0,110.0,1000.0,25.0,3643.0,0.109,0.68,0.0589,0.2079,0.066,61.0,150.26,0.024,0.166,0.9,0.008,0.319,67.0
JSPMMnCU,NVD,98.0,1590.0,1505.0,110.0,1150.0,25.0,4016.0,0.098,0.62,0.0429,0.201,0.056,60.0,197.78,0.032,0.169,0.83,0.004,0.319,67.0
JSPMMnCU,NVD,100.0,1590.0,1505.0,132.0,1200.0,25.0,3761.0,0.073,0.59,0.042,0.2079,0.04,63.0,216.15,0.038,0.169,0.83,0.008,0.311,67.0
C18,NVD,106.0,1620.0,1505.0,132.0,1200.0,25.0,3946.0,0.067,0.45,0.0497,0.137,0.033,63.0,224.4,0.031,0.183,0.54,0.012,0.168,61.0
C18,NVD,103.0,1600.0,1640.0,132.0,1100.0,25.0,3457.0,0.047,0.44,0.0449,0.137,0.031,63.0,186.45,0.015,0.183,0.56,0.012,0.16,64.0
C18,NVD,98.0,1580.0,1551.0,132.0,1200.0,25.0,3426.0,0.08,0.47,0.057,0.1029,0.032,63.0,216.15,0.034,0.186,0.53,0.0149,0.16,64.0
C18,NVD,100.0,1590.0,1555.0,176.0,1100.0,25.0,3795.0,0.065,0.46,0.066,0.156,0.04,51.0,198.11,0.042,0.18,0.52,0.0149,0.171,64.0
C18,NVD,100.0,1580.0,1545.0,132.0,1100.0,25.0,3854.0,0.091,0.44,0.064,0.131,0.044,63.0,183.15,0.031,0.185,0.53,0.021,0.1459,67.0
C18,NVD,100.0,1580.0,1505.0,132.0,1100.0,25.0,3465.0,0.065,0.39,0.063,0.08,0.005,63.0,214.5,0.018,0.192,0.52,0.01,0.1479,66.0
C18,NVD,100.0,1575.0,1505.0,132.0,1200.0,25.0,3565.0,0.065,0.44,0.0599,0.114,0.042,63.0,178.2,0.024,0.184,0.52,0.0109,0.1739,71.0
C18,NVD,100.0,1570.0,1505.0,132.0,1200.0,25.0,3104.0,0.069,0.46,0.068,0.1449,0.023,43.0,211.2,0.026,0.192,0.53,0.0129,0.155,70.0
C18,NVD,100.0,1570.0,1505.0,132.0,1100.0,25.0,3012.0,0.051,0.41,0.067,0.099,0.006,47.0,231.0,0.022,0.19,0.55,0.01,0.1459,63.0
C18,NVD,100.0,1575.0,1505.0,132.0,1200.0,25.0,3433.0,0.106,0.47,0.068,0.125,0.045,54.0,188.1,0.02,0.193,0.54,0.008,0.154,61.0
C18,NVD,100.0,1575.0,1505.0,132.0,1200.0,25.0,3270.0,0.083,0.45,0.0719,0.131,0.008,51.0,231.0,0.024,0.192,0.53,0.014,0.162,61.0
C18,NVD,100.0,1575.0,1505.0,132.0,1200.0,25.0,3471.0,0.074,0.46,0.0749,0.113,0.032,60.0,214.5,0.024,0.194,0.52,0.012,0.169,61.0
C18,NVD,100.0,1573.0,1505.0,132.0,1400.0,25.0,2948.0,0.071,0.47,0.067,0.138,0.092,51.0,148.5,0.024,0.184,0.52,0.006,0.1759,60.0
C18,NVD,100.0,1580.0,1505.0,132.0,1200.0,25.0,3962.0,0.09,0.43,0.0599,0.113,0.039,50.0,198.0,0.021,0.188,0.52,0.007,0.1739,61.0
C18,NVD,100.0,1580.0,1505.0,132.0,1200.0,25.0,3662.0,0.071,0.46,0.049,0.108,0.034,51.0,198.0,0.017,0.203,0.54,0.007,0.161,64.0
C18,NVD,100.0,1595.0,1505.0,132.0,1500.0,50.0,3875.0,0.085,0.46,0.0539,0.123,0.05,51.0,214.5,0.017,0.186,0.54,0.003,0.1459,60.0
C18,NVD,100.0,1605.0,1505.0,132.0,1300.0,50.0,3698.0,0.059,0.43,0.055,0.111,0.044,54.0,214.5,0.022,0.176,0.55,0.004,0.1719,60.0
C18,NVD,106.0,1590.0,1505.0,132.0,1400.0,25.0,4483.0,0.056,0.41,0.041,0.0889,0.014,54.0,148.5,0.022,0.185,0.52,0.008,0.1489,57.0
SAE1541,NVD,101.0,1580.0,1505.0,110.0,1350.0,25.0,3648.0,0.07,0.4,0.048,0.068,0.016,51.0,251.9,0.039,0.405,1.52,0.003,0.19,60.0
C18,NVD,95.0,1610.0,1505.0,110.0,1300.0,25.0,3081.0,0.082,0.44,0.048,0.0909,0.036,55.0,209.0,0.024,0.184,0.54,0.005,0.165,61.0
SAE1541,VD,99.0,1565.0,1505.0,132.0,1650.0,25.0,4302.0,0.088,0.44,0.0599,0.104,0.053,61.0,330.0,0.031,0.389,1.52,0.003,0.185,64.0
C18,NVD,101.0,1582.0,1505.0,110.0,1200.0,25.0,3615.0,0.069,0.41,0.065,0.085,0.014,55.0,218.9,0.028,0.18,0.49,0.0089,0.153,61.0
C18,NVD,102.0,1575.0,1505.0,110.0,1250.0,25.0,4172.0,0.08,0.43,0.07,0.0859,0.049,55.0,176.0,0.031,0.187,0.52,0.014,0.156,61.0
S275HS,NVD,101.0,1575.0,1505.0,132.0,1550.0,25.0,3307.0,0.073,0.6,0.057,0.139,0.042,60.0,211.2,0.032,0.167,0.79,0.007,0.191,60.0
S275HS,NVD,99.0,1565.0,1505.0,132.0,1000.0,25.0,3845.0,0.086,0.64,0.064,0.1429,0.065,47.0,198.0,0.033,0.162,0.82,0.007,0.2059,67.0
S275HS,NVD,102.0,1565.0,1505.0,110.0,1500.0,25.0,3693.0,0.081,0.64,0.0589,0.1479,0.04,51.0,235.4,0.036,0.165,0.83,0.005,0.223,64.0
S275HS,NVD,101.0,1568.0,1505.0,132.0,1550.0,50.0,4758.0,0.058,0.63,0.065,0.116,0.017,44.0,300.3,0.035,0.155,0.82,0.006,0.186,64.0
S275HS,NVD,101.0,1565.0,1505.0,178.0,1170.0,50.0,3871.0,0.097,0.72,0.0609,0.1419,0.048,54.0,280.3,0.03,0.17,0.83,0.008,0.196,64.0
S275HS,NVD,101.0,1570.0,1505.0,178.0,1550.0,50.0,3717.0,0.101,0.65,0.063,0.1419,0.035,47.0,310.0,0.039,0.162,0.83,0.0109,0.187,70.0
S275HS,NVD,101.0,1570.0,1505.0,178.0,1450.0,50.0,2367.0,0.085,0.69,0.065,0.156,0.083,47.0,244.0,0.029,0.167,0.84,0.0089,0.1749,64.0
S275HS,NVD,100.0,1570.0,1505.0,132.0,1200.0,50.0,3465.0,0.086,0.61,0.07,0.132,0.052,53.0,231.0,0.031,0.16,0.83,0.008,0.201,64.0
S275HS,NVD,97.0,1575.0,1505.0,132.0,1400.0,50.0,3448.0,0.125,0.68,0.064,0.161,0.034,54.0,211.2,0.036,0.168,0.83,0.0129,0.195,67.0
E410HS(V),NVD,104.0,1565.0,1505.0,132.0,1500.0,50.0,3113.0,0.108,0.98,0.0609,0.151,0.043,55.0,240.9,0.039,0.163,1.49,0.028,0.166,70.0
SS540HSV,NVD,100.0,1615.0,1505.0,132.0,1200.0,50.0,3331.0,0.099,1.03,0.049,0.1469,0.02,57.0,214.5,0.03,0.206,1.51,0.0179,0.157,74.0
SAE1541,VD,89.0,1585.0,1505.0,132.0,1500.0,50.0,3294.0,0.118,1.18,0.0519,0.1799,0.029,54.0,280.5,0.032,0.392,1.53,0.003,0.2079,61.0
SS540HSV,NVD,100.0,1585.0,1505.0,132.0,1400.0,50.0,3263.0,0.088,1.04,0.0599,0.132,0.023,57.0,320.1,0.035,0.219,1.43,0.008,0.229,86.0
SAE1541,VD,102.0,1565.0,1505.0,132.0,1500.0,50.0,3345.0,0.099,0.94,0.0589,0.1489,0.022,50.0,231.0,0.038,0.406,1.58,0.004,0.216,61.0
