GRADE,VD/NVD,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2
JSPHTHSV,NVD,100.0,1582.0,1505.0,110.0,1650.0,25.0,3706.0,0.092,0.97,0.0749,0.1449,0.013,53.0,275.1,0.032,0.188,1.33,0.0089,0.1739,74.0
JSPHTHSV,NVD,100.0,1574.0,1505.0,110.0,1550.0,25.0,3658.0,0.105,0.91,0.0709,0.139,0.022,54.0,324.6,0.039,0.186,1.32,0.006,0.2349,71.0
JSPHTHSV,NVD,103.0,1577.0,1505.0,110.0,1350.0,25.0,3694.0,0.103,0.86,0.0599,0.12,0.015,57.0,331.2,0.03,0.183,1.33,0.006,0.221,64.0
JSPHTHSV,NVD,100.0,1574.0,1505.0,132.0,1350.0,25.0,4310.0,0.097,0.91,0.0539,0.135,0.018,55.0,307.0,0.033,0.179,1.32,0.005,0.2069,68.0
SAE9254,VD,100.0,1554.0,1505.0,0.0,1550.0,25.0,4466.0,0.064,0.28,0.0509,0.7239,0.003,64.0,10.0,0.007,0.54,0.64,0.006,1.321,61.0
JSPHTHSV,NVD,104.0,1575.0,1505.0,132.0,1400.0,25.0,3568.0,0.099,0.92,0.066,0.137,0.049,48.0,260.8,0.036,0.165,1.32,0.0109,0.2039,67.0
JSPHTHSV,NVD,103.0,1580.0,1505.0,110.0,1350.0,25.0,3846.0,0.127,0.93,0.0609,0.155,0.004,47.0,304.8,0.037,0.179,1.33,0.007,0.2099,70.0
SAE9254,VD,93.0,1530.0,1505.0,0.0,1350.0,25.0,3850.0,0.048,0.29,0.0599,0.8199,0.003,47.0,10.0,0.007,0.535,0.63,0.0109,1.351,60.0
JSPHTHSV,NVD,101.0,1575.0,1505.0,110.0,1350.0,25.0,3949.0,0.115,0.93,0.063,0.157,0.019,54.0,245.4,0.039,0.203,1.34,0.008,0.2069,73.0
JSPHTHSV,NVD,102.0,1570.0,1505.0,132.0,1650.0,25.0,3570.0,0.091,0.84,0.065,0.12,0.024,61.0,330.1,0.029,0.178,1.34,0.0149,0.169,68.0
JSPHTHSV,NVD,98.0,1575.0,1505.0,132.0,1550.0,25.0,3610.0,0.122,0.97,0.063,0.162,0.063,57.0,277.3,0.03,0.177,1.32,0.007,0.1809,60.0
JSPHTHSV,NVD,103.0,1575.0,1505.0,132.0,1150.0,25.0,4253.0,0.111,0.94,0.055,0.152,0.04,54.0,255.85,0.041,0.177,1.32,0.016,0.203,64.0
JSPHTHSV,NVD,105.0,1575.0,1505.0,132.0,1400.0,25.0,4793.0,0.126,0.91,0.041,0.156,0.074,54.0,226.15,0.039,0.183,1.32,0.0089,0.182,64.0
SAE9254,VD,102.0,1557.0,1505.0,0.0,994.0,25.0,4081.0,0.137,0.48,0.058,0.521,0.002,58.0,10.0,0.005,0.554,0.64,0.007,1.34,64.0
JSPHTHSV,NVD,103.0,1575.0,1505.0,132.0,1400.0,25.0,3829.0,0.112,0.96,0.068,0.14,0.023,58.0,290.5,0.024,0.202,1.33,0.0089,0.23,61.0
SAE9254,VD,98.0,1532.0,1505.0,0.0,1500.0,25.0,4099.0,0.07,0.51,0.055,0.53,1.417,64.0,10.0,0.006,0.528,0.63,0.0089,1.324,61.0
SAE9254,VD,96.0,1525.0,1505.0,0.0,1600.0,25.0,3904.0,0.075,0.5,0.049,0.5649,0.005,61.0,10.0,0.005,0.558,0.64,0.01,1.3799,61.0
S275HS,NVD,102.0,1615.0,1590.0,110.0,2000.0,25.0,3597.0,0.061,0.37,0.0599,0.0589,0.003,58.0,417.0,0.025,0.167,0.8,0.008,0.22,58.0
S275HS,NVD,101.0,1583.0,1505.0,110.0,1450.0,25.0,4196.0,0.076,0.59,0.064,0.1029,0.014,57.0,295.89,0.04,0.16,0.85,0.014,0.224,61.0
S275HS,NVD,99.0,1583.0,1505.0,110.0,1500.0,25.0,3630.0,0.07,0.62,0.078,0.104,0.017,60.0,268.5,0.027,0.172,0.84,0.01,0.223,61.0
SAE9254,VD,99.0,1550.0,1505.0,0.0,1550.0,25.0,4490.0,0.103,0.51,0.085,0.534,0.002,63.0,10.0,0.004,0.542,0.62,0.014,1.341,60.0
S275HS,NVD,98.0,1585.0,1505.0,110.0,1250.0,25.0,4391.0,0.12,0.69,0.0729,0.056,0.002,54.0,268.5,0.021,0.132,0.8,0.019,0.229,64.0
SAE9254,VD,96.0,1525.0,1505.0,0.0,1350.0,25.0,4511.0,0.075,0.5,0.0719,0.522,0.001,51.0,10.0,0.004,0.535,0.63,0.01,1.34,63.0
S275HS,NVD,89.0,1580.0,1505.0,110.0,2300.0,25.0,3868.0,0.078,0.5,0.0719,0.0879,0.021,51.0,280.05,0.031,0.166,0.82,0.014,0.2049,66.0
S275HS,NVD,102.0,1585.0,1505.0,110.0,2150.0,25.0,3991.0,0.092,0.46,0.081,0.078,0.034,51.0,263.55,0.022,0.164,0.82,0.006,0.214,61.0
S275HS,NVD,102.0,1580.0,1505.0,110.0,2000.0,25.0,4122.0,0.073,0.46,0.078,0.07,0.006,51.0,351.0,0.031,0.169,0.87,0.0129,0.245,67.0
S275HS,NVD,103.0,1575.0,1505.0,110.0,1850.0,25.0,3889.0,0.085,0.59,0.07,0.107,0.005,48.0,344.4,0.034,0.153,0.82,0.007,0.189,64.0
S275HS,NVD,101.0,1575.0,1505.0,178.0,1800.0,25.0,3892.0,0.082,0.63,0.082,0.124,0.015,54.0,382.7,0.036,0.173,0.84,0.0089,0.195,67.0
S275HS,NVD,102.0,1575.0,1505.0,132.0,1950.0,25.0,4127.0,0.084,0.65,0.0719,0.128,0.023,54.0,349.9,0.036,0.173,0.83,0.007,0.262,66.0
S275HS,NVD,101.0,1575.0,1505.0,110.0,1550.0,25.0,3661.0,0.114,0.66,0.063,0.138,0.027,54.0,235.5,0.033,0.166,0.85,0.0109,0.187,64.0
S275HS,NVD,98.0,1575.0,1505.0,178.0,1600.0,25.0,3605.0,0.086,0.67,0.0739,0.1469,0.054,51.0,366.2,0.031,0.164,0.81,0.007,0.217,64.0
S275HS,NVD,100.0,1575.0,1505.0,178.0,1500.0,25.0,3796.0,0.084,0.67,0.0709,0.132,0.028,51.0,353.0,0.029,0.15,0.83,0.006,0.1749,47.0
FE550DLMH,NVD,98.0,1620.0,1505.0,110.0,1250.0,25.0,3881.0,0.109,0.69,0.07,0.1429,0.026,48.0,153.0,0.007,0.187,0.82,0.0109,0.191,61.0
S275HS,NVD,100.0,1573.0,1505.0,110.0,1500.0,25.0,4057.0,0.098,0.67,0.068,0.155,0.033,55.0,291.6,0.036,0.168,0.83,0.0089,0.182,67.0
S275HS,NVD,103.0,1583.0,1505.0,110.0,1400.0,25.0,4221.0,0.13,0.64,0.07,0.154,0.037,41.0,202.5,0.042,0.172,0.83,0.0149,0.186,67.0
FE550DLMH,NVD,106.0,1590.0,1505.0,132.0,1400.0,25.0,4157.0,0.088,0.64,0.064,0.1429,0.053,60.0,142.0,0.02,0.164,0.77,0.0439,0.1799,61.0
FE550DLMH,NVD,110.0,1590.0,1505.0,154.0,1600.0,25.0,2744.0,0.057,0.52,0.0749,0.064,0.056,45.0,527.0,0.008,0.174,0.85,0.0219,0.199,71.0
FE550DLMH,NVD,96.0,1585.0,1505.0,132.0,1250.0,25.0,4442.0,0.049,0.67,0.066,0.132,0.013,64.0,191.5,0.004,0.207,0.85,0.014,0.2099,70.0
JSPHTHSV,NVD,97.0,1615.0,1505.0,132.0,1650.0,25.0,4149.0,0.086,1.05,0.0739,0.1779,0.111,61.0,217.9,0.029,0.177,1.32,0.008,0.196,67.0
JSPHTHSV(VD),VD,101.0,1580.0,1505.0,132.0,1600.0,25.0,3696.0,0.1,1.03,0.065,0.17,0.092,47.0,191.5,0.039,0.182,1.35,0.004,0.2079,58.0
JSPHTHSV(VD),VD,104.0,1565.0,1505.0,132.0,1650.0,25.0,3733.0,0.111,0.98,0.0739,0.1749,0.065,53.0,257.5,0.032,0.192,1.33,0.004,0.17,61.0
JSPHTHSV(VD),VD,98.0,1566.0,1505.0,132.0,1550.0,25.0,4108.0,0.1,1.08,0.07,0.188,0.081,50.0,224.5,0.035,0.177,1.35,0.006,0.185,67.0
JSPHTHSV(VD),VD,105.0,1562.0,1505.0,132.0,1350.0,25.0,3612.0,0.079,0.85,0.0719,0.129,0.095,51.0,233.41,0.029,0.188,1.33,0.008,0.151,61.0
FE550DLMH,NVD,102.0,1620.0,1505.0,0.0,1550.0,25.0,3522.0,0.1,0.62,0.0599,0.115,0.037,47.0,10.0,0.005,0.197,0.86,0.0109,0.169,68.0
FE550DLMH,NVD,101.0,1580.0,1505.0,110.0,1600.0,25.0,3981.0,0.068,0.62,0.0519,0.117,0.047,54.0,120.0,0.005,0.192,0.84,0.007,0.1779,64.0
JSPHTHSV,NVD,100.0,1580.0,1505.0,110.0,1350.0,25.0,3795.0,0.061,0.62,0.0599,0.113,0.034,54.0,317.67,0.031,0.177,1.32,0.007,0.195,67.0
JSPHTHSV,NVD,97.0,1570.0,1505.0,110.0,1650.0,25.0,4505.0,0.089,0.59,0.0749,0.124,0.032,60.0,255.63,0.041,0.183,1.3,0.008,0.2129,64.0
FE550DLMH,NVD,101.0,1580.0,1505.0,110.0,1400.0,25.0,4510.0,0.069,0.62,0.066,0.099,0.01,54.0,186.0,0.014,0.175,0.82,0.025,0.2079,61.0
JSPHTHSV,NVD,102.0,1570.0,1505.0,110.0,1500.0,25.0,3776.0,0.085,0.89,0.07,0.135,0.048,53.0,240.45,0.025,0.191,1.35,0.008,0.222,64.0
JSPHTHSV,NVD,102.0,1575.0,1505.0,110.0,1550.0,25.0,3833.0,0.086,0.91,0.0919,0.125,0.006,53.0,336.15,0.038,0.173,1.32,0.0179,0.225,63.0
JSPHTHSV,NVD,99.0,1569.0,1505.0,110.0,1500.0,25.0,3499.0,0.122,0.99,0.08,0.158,0.027,54.0,288.3,0.033,0.188,1.33,0.01,0.203,64.0
FE550DLMH,NVD,101.0,1610.0,1505.0,132.0,1350.0,25.0,3889.0,0.062,0.62,0.0769,0.1029,0.008,54.0,250.9,0.007,0.19,0.82,0.0129,0.2119,66.0
FE550DLMH,NVD,98.0,1578.0,1505.0,132.0,1400.0,25.0,3960.0,0.068,0.69,0.0759,0.0749,0.002,54.0,300.4,0.005,0.195,0.86,0.0179,0.195,66.0
FE550DLMH,NVD,98.0,1580.0,1505.0,132.0,1150.0,25.0,4110.0,0.071,0.61,0.0749,0.104,0.035,51.0,215.26,0.018,0.184,0.8,0.016,0.269,63.0
S275HS,NVD,100.0,1610.0,1505.0,110.0,1300.0,25.0,3770.0,0.066,0.58,0.0729,0.111,0.067,54.0,219.0,0.035,0.167,0.83,0.0089,0.222,64.0
FE550DLMH,NVD,102.0,1580.0,1505.0,132.0,1300.0,25.0,4075.0,0.057,0.53,0.069,0.0919,0.059,51.0,215.26,0.008,0.192,0.83,0.0109,0.168,66.0
S275HS,NVD,98.0,1580.0,1505.0,178.0,1200.0,25.0,442.0,0.081,0.52,0.0599,0.111,0.101,51.0,254.0,0.04,0.17,0.83,0.006,0.201,60.0
FE550DLMH,NVD,101.0,1585.0,1505.0,178.0,1600.0,25.0,3881.0,0.079,0.58,0.07,0.128,0.056,44.0,206.15,0.014,0.2,0.85,0.0149,0.199,57.0
FE550DLMH,NVD,101.0,1575.0,1505.0,132.0,1600.0,25.0,3881.0,0.069,0.6,0.0719,0.124,0.084,61.0,142.0,0.009,0.188,0.82,0.0089,0.188,67.0
S275HS,NVD,102.0,1580.0,1505.0,132.0,1300.0,25.0,3871.0,0.084,0.62,0.064,0.138,0.069,61.0,198.1,0.066,0.157,0.76,0.034,0.151,61.0
S275HS,NVD,102.0,1580.0,1505.0,178.0,1400.0,25.0,3886.0,0.082,0.64,0.067,0.135,0.117,64.0,199.55,0.036,0.172,0.86,0.0129,0.216,61.0
FE550DLMH,NVD,101.0,1620.0,1505.0,110.0,1350.0,25.0,3994.0,0.104,0.74,0.07,0.162,0.089,48.0,120.0,0.016,0.191,0.83,0.012,0.1789,64.0
FE550DLMH,NVD,104.0,1585.0,1505.0,132.0,1350.0,25.0,3832.0,0.121,0.69,0.0609,0.1499,0.069,48.0,142.0,0.017,0.188,0.82,0.014,0.158,68.0
FE550DLMH,NVD,96.0,1578.0,1505.0,110.0,1400.0,25.0,3972.0,0.089,0.68,0.067,0.128,0.021,57.0,156.63,0.006,0.193,0.83,0.008,0.188,64.0
FE550DLMH,NVD,96.0,1585.0,1505.0,110.0,1400.0,25.0,3824.0,0.097,0.7,0.066,0.1459,0.047,41.0,120.0,0.016,0.177,0.81,0.02,0.165,63.0
FE550DLMH,NVD,103.0,1580.0,1505.0,110.0,1600.0,25.0,3733.0,0.097,0.63,0.068,0.13,0.051,51.0,120.0,0.015,0.181,0.81,0.016,0.1809,64.0
FE550DLMH,NVD,104.0,1585.0,1505.0,110.0,1600.0,25.0,3773.0,0.107,0.61,0.067,0.127,0.047,47.0,120.0,0.006,0.189,0.82,0.01,0.167,63.0
FE550DLMH,NVD,100.0,1580.0,1505.0,110.0,1350.0,25.0,3834.0,0.103,0.66,0.057,0.133,0.03,55.0,120.0,0.006,0.198,0.84,0.0089,0.191,66.0
FE550DLMH,NVD,100.0,1580.0,1505.0,110.0,1200.0,25.0,3984.0,0.078,0.68,0.0539,0.1449,0.036,51.0,153.0,0.005,0.177,0.83,0.01,0.132,63.0
FE550DLMH,NVD,100.0,1580.0,1505.0,110.0,1200.0,25.0,4284.0,0.132,0.68,0.056,0.162,0.006,50.0,186.0,0.005,0.184,0.82,0.007,0.151,67.0
FE550DLMH,NVD,100.0,1570.0,1505.0,110.0,1200.0,25.0,4504.0,0.083,0.67,0.057,0.134,0.019,50.0,153.0,0.042,0.188,0.77,0.032,0.151,63.0
FE550DLMH,NVD,100.0,1580.0,1505.0,110.0,1100.0,25.0,4280.0,0.066,0.64,0.063,0.128,0.019,48.0,153.0,0.016,0.177,0.95,0.027,0.194,63.0
FE550DLMH,NVD,100.0,1690.0,1505.0,110.0,1450.0,25.0,4373.0,0.11,0.01,0.058,0.007,0.102,51.0,120.0,0.006,0.187,0.78,0.008,0.157,63.0
ASTMA572GR60,NVD,100.0,1600.0,1505.0,110.0,1500.0,25.0,3996.0,0.097,0.72,0.0609,0.1419,0.048,54.0,304.8,0.028,0.175,1.55,0.005,0.2379,61.0
ASTMA572GR60,NVD,100.0,1574.0,1505.0,110.0,1500.0,25.0,4556.0,0.092,1.02,0.057,0.1499,0.046,58.0,233.85,0.028,0.169,1.52,0.006,0.233,67.0
ASTMA572GR50,NVD,100.0,1565.0,1505.0,110.0,1350.0,25.0,4150.0,0.099,1.01,0.058,0.1459,0.028,55.0,258.6,0.032,0.183,1.33,0.003,0.192,67.0
FE550DLMH,NVD,100.0,1610.0,1505.0,156.0,1200.0,25.0,4469.0,0.133,0.67,0.055,0.14,0.151,55.0,166.0,0.014,0.192,0.82,0.005,0.189,64.0
FE550DLMH,NVD,100.0,1590.0,1505.0,110.0,1250.0,25.0,4278.0,0.092,0.64,0.064,0.129,0.028,50.0,120.0,0.009,0.211,0.81,0.0129,0.168,64.0
FE550DLMH,NVD,100.0,1580.0,1505.0,110.0,1400.0,25.0,4848.0,0.096,0.66,0.0589,0.124,0.047,51.0,136.5,0.018,0.18,0.83,0.0089,0.197,61.0
ASTMA572GR50,NVD,100.0,1582.0,1505.0,110.0,1600.0,25.0,4388.0,0.084,0.66,0.062,0.131,0.111,51.0,166.2,0.039,0.179,1.31,0.0109,0.2059,66.0
FE550DLMH,NVD,100.0,1590.0,1505.0,110.0,1200.0,25.0,4395.0,0.063,0.65,0.0609,0.1409,0.087,54.0,120.0,0.016,0.191,0.82,0.014,0.233,63.0
ASTMA572GR50,NVD,100.0,1582.0,1505.0,132.0,1700.0,25.0,4347.0,0.117,0.74,0.068,0.165,0.136,51.0,142.0,0.032,0.185,1.32,0.0089,0.199,67.0
ASTMA572GR50,NVD,100.0,1580.0,1505.0,178.0,1200.0,25.0,3899.0,0.153,0.57,0.069,0.138,0.203,53.0,263.9,0.036,0.189,1.27,0.008,0.1729,67.0
ASTMA572GR50,NVD,100.0,1570.0,1505.0,132.0,1800.0,25.0,4240.0,0.067,0.63,0.058,0.1259,0.054,51.0,257.5,0.035,0.169,1.35,0.01,0.193,68.0
ASTMA572GR50,NVD,100.0,1580.0,1505.0,132.0,1300.0,25.0,4376.0,0.085,0.82,0.067,0.17,0.094,54.0,227.14,0.031,0.196,1.37,0.006,0.194,67.0
ASTMA572GR50,NVD,100.0,1585.0,1505.0,132.0,1500.0,25.0,4355.0,0.096,1.01,0.062,0.158,0.068,54.0,208.0,0.031,0.182,1.36,0.008,0.231,67.0
ASTMA572GR50,NVD,102.0,1582.0,1505.0,132.0,1520.0,25.0,4526.0,0.11,1.02,0.0599,0.16,0.088,54.0,237.7,0.027,0.179,1.35,0.0089,0.2069,68.0
ASTMA572GR50,NVD,109.0,1585.0,1505.0,132.0,1400.0,25.0,4392.0,0.08,0.88,0.048,0.11,0.055,54.0,262.78,0.027,0.164,1.26,0.0129,0.159,66.0
S275LS,NVD,110.0,1605.0,1505.0,132.0,1500.0,25.0,3710.0,0.065,0.6,0.0459,0.111,0.077,51.0,224.5,0.034,0.165,0.71,0.004,0.272,61.0
ASTMA572GR50,NVD,101.0,1580.0,1505.0,132.0,1250.0,25.0,3791.0,0.089,0.63,0.057,0.138,0.114,54.0,158.5,0.037,0.184,1.33,0.0089,0.2059,61.0
ASTMA572GR50,NVD,101.0,1585.0,1505.0,110.0,1500.0,25.0,4025.0,0.074,0.62,0.058,0.1189,0.045,48.0,238.8,0.025,0.178,1.32,0.006,0.2089,67.0
ASTMA572GR50,NVD,99.0,1580.0,1505.0,132.0,1350.0,25.0,3807.0,0.084,0.69,0.0599,0.13,0.058,48.0,224.5,0.033,0.182,1.3,0.012,0.201,67.0
ASTMA572GR51,NVD,107.0,1578.0,1505.0,132.0,1500.0,25.0,4091.0,0.092,0.62,0.065,0.1189,0.026,48.0,257.5,0.029,0.189,1.35,0.0089,0.223,64.0
S275LS,NVD,104.0,1580.0,1505.0,132.0,1400.0,25.0,4073.0,0.07,0.65,0.0539,0.12,0.088,41.0,194.8,0.037,0.169,0.73,0.0089,0.2,67.0
S275LS,NVD,106.0,1574.0,1505.0,132.0,1450.0,25.0,4560.0,0.093,0.65,0.0539,0.1429,0.193,58.0,142.0,0.033,0.169,0.72,0.006,0.186,61.0
JSPHTLSV,NVD,107.0,1590.0,1505.0,132.0,1400.0,25.0,4085.0,0.121,1.0,0.07,0.153,0.043,51.0,257.5,0.034,0.182,1.28,0.0109,0.193,67.0
JSPHTLSV,NVD,102.0,1590.0,1505.0,132.0,1250.0,25.0,4491.0,0.128,1.07,0.0759,0.182,0.157,60.0,142.0,0.033,0.181,1.27,0.008,0.214,71.0
JSPHTLSV,NVD,102.0,1580.0,1505.0,132.0,1200.0,25.0,4004.0,0.106,0.97,0.0609,0.165,0.083,50.0,188.2,0.034,0.182,1.26,0.006,0.2119,67.0
JSPHTLSV,NVD,104.0,1582.0,1505.0,132.0,1300.0,25.0,3757.0,0.158,0.96,0.063,0.154,0.148,44.0,181.6,0.02,0.165,1.17,0.007,0.202,64.0
JSPHTLSV,NVD,97.0,1580.0,1505.0,110.0,1550.0,25.0,3901.0,0.078,0.79,0.07,0.127,0.031,44.0,219.0,0.032,0.177,1.27,0.01,0.196,61.0
C18HMN,NVD,98.0,1600.0,1505.0,132.0,1200.0,25.0,3743.0,0.097,0.96,0.066,0.165,0.115,43.0,224.5,0.034,0.148,1.18,0.006,0.2389,67.0
C18HMN,NVD,100.0,1576.0,1505.0,110.0,1250.0,25.0,3998.0,0.097,0.89,0.0709,0.1489,0.033,55.0,291.27,0.03,0.166,1.19,0.01,0.197,64.0
C18HMN,NVD,100.0,1575.0,1556.0,110.0,1150.0,25.0,4406.0,0.077,0.86,0.056,0.122,0.005,53.0,342.75,0.04,0.156,1.18,0.012,0.218,66.0
C18HMN,NVD,100.0,1578.0,1505.0,110.0,1500.0,25.0,4626.0,0.106,0.89,0.0599,0.159,0.055,61.0,195.9,0.036,0.153,1.16,0.006,0.2119,67.0
C18HMN,NVD,100.0,1575.0,1505.0,176.0,1300.0,25.0,3912.0,0.083,0.78,0.058,0.1189,0.005,53.0,384.0,0.027,0.167,1.21,0.008,0.2069,64.0
C18HMN,NVD,100.0,1575.0,1505.0,132.0,1300.0,25.0,4057.0,0.1,0.98,0.0599,0.1799,0.092,55.0,215.26,0.034,0.158,1.17,0.005,0.229,67.0
C18HMN,NVD,100.0,1570.0,1505.0,110.0,1450.0,25.0,3669.0,0.093,0.87,0.064,0.165,0.027,50.0,294.9,0.036,0.17,1.17,0.006,0.217,64.0
C18HMN,NVD,100.0,1573.0,1505.0,132.0,1250.0,25.0,4063.0,0.109,0.95,0.0599,0.1759,0.139,54.0,184.9,0.034,0.163,1.17,0.006,0.1779,63.0
C18HMN,NVD,100.0,1574.0,1505.0,132.0,1300.0,25.0,4250.0,0.121,0.9,0.062,0.166,0.117,55.0,200.41,0.035,0.162,1.19,0.0089,0.189,64.0
C18HMN,NVD,100.0,1575.0,1505.0,132.0,1400.0,25.0,3532.0,0.107,0.96,0.062,0.167,0.073,53.0,226.15,0.05,0.149,1.14,0.012,0.1779,63.0
C18HMN,NVD,100.0,1575.0,1505.0,132.0,1450.0,25.0,3669.0,0.102,0.97,0.055,0.1809,0.101,54.0,204.7,0.038,0.163,1.19,0.006,0.192,67.0
SS540LS(V),NVD,100.0,1610.0,1505.0,110.0,1300.0,25.0,3322.0,0.1,0.95,0.0589,0.1809,0.083,54.0,162.9,0.051,0.222,1.43,0.012,0.2369,91.0
SS540LS(V),NVD,100.0,1585.0,1505.0,132.0,1500.0,25.0,3187.0,0.093,0.87,0.0589,0.158,0.035,54.0,290.5,0.041,0.222,1.43,0.008,0.202,83.0
SS540LS(V),NVD,100.0,1580.0,1505.0,132.0,1000.0,25.0,3688.0,0.112,1.1,0.048,0.14,0.089,50.0,234.4,0.03,0.22,1.42,0.006,0.224,88.0
C18HMN,NVD,100.0,1610.0,1505.0,132.0,1550.0,25.0,30133.0,0.09,0.92,0.066,0.126,0.035,54.0,330.1,0.029,0.163,1.18,0.008,0.2059,67.0
C18HMN,NVD,100.0,1565.0,1505.0,132.0,1700.0,25.0,4073.0,0.075,0.82,0.07,0.1019,0.047,54.0,283.9,0.033,0.166,1.16,0.005,0.2099,67.0
C18HMN,NVD,100.0,1565.0,1505.0,110.0,1500.0,25.0,3863.0,0.084,0.88,0.08,0.12,0.064,54.0,245.4,0.023,0.173,1.17,0.0089,0.1789,66.0
C18HMN,NVD,100.0,1565.0,1505.0,132.0,2100.0,25.0,4037.0,0.075,0.83,0.0719,0.104,0.02,54.0,340.0,0.032,0.164,1.18,0.007,0.202,67.0
ASTMA572GR50,NVD,100.0,1570.0,1505.0,132.0,1950.0,25.0,3612.0,0.165,0.85,0.0729,0.1449,0.087,54.0,231.1,0.036,0.182,1.34,0.01,0.226,64.0
ASTMA572GR50,NVD,100.0,1577.0,1505.0,132.0,1500.0,25.0,3771.0,0.083,0.95,0.0709,0.132,0.033,51.0,297.1,0.031,0.179,1.32,0.008,0.2089,70.0
ASTMA572GR50,NVD,100.0,1568.0,1505.0,132.0,1250.0,25.0,3867.0,0.141,1.02,0.068,0.1789,0.091,54.0,171.04,0.038,0.175,1.3,0.0129,0.166,64.0
ASTMA572GR50,NVD,100.0,1570.0,1505.0,132.0,1500.0,25.0,3534.0,0.103,0.84,0.066,0.1469,0.076,54.0,267.4,0.039,0.198,1.35,0.0109,0.232,73.0
ASTMA572GR50,NVD,100.0,1565.0,1505.0,132.0,1500.0,25.0,3990.0,0.105,1.03,0.056,0.1719,0.059,54.0,274.0,0.031,0.187,1.35,0.01,0.1729,71.0
ASTMA572GR50,NVD,100.0,1575.0,1505.0,132.0,1800.0,25.0,3626.0,0.092,0.89,0.057,0.1449,0.074,54.0,270.7,0.034,0.17,1.28,0.004,0.214,61.0
SS540LSV,NVD,100.0,1606.0,1505.0,110.0,1150.0,25.0,3240.0,0.099,0.97,0.0519,0.151,0.067,54.0,209.1,0.031,0.226,1.45,0.0129,0.246,66.0
SS540LSV,NVD,100.0,1575.0,1505.0,132.0,1500.0,25.0,4136.0,0.12,0.99,0.0609,0.165,0.031,53.0,287.2,0.035,0.225,1.45,0.005,0.2069,82.0
SS540LSV,NVD,100.0,1570.0,1505.0,132.0,1300.0,25.0,3868.0,0.093,0.95,0.068,0.1479,0.032,48.0,293.8,0.037,0.23,1.45,0.0089,0.224,83.0
SS540LSV,NVD,100.0,1575.0,1505.0,132.0,1200.0,25.0,3923.0,0.089,0.78,0.067,0.116,0.023,51.0,419.2,0.029,0.23,1.43,0.005,0.246,71.0
ASTMA572GR50,NVD,100.0,1610.0,1505.0,132.0,1250.0,25.0,3923.0,0.104,0.96,0.0459,0.152,0.082,51.0,225.82,0.032,0.181,1.33,0.006,0.193,67.0
ASTMA572GR50,NVD,108.0,1585.0,1505.0,132.0,1300.0,25.0,4238.0,0.078,0.97,0.0599,0.108,0.018,57.0,292.15,0.044,0.184,1.35,0.0109,0.182,67.0
ASTMA572GR50,NVD,104.0,1585.0,1505.0,132.0,1300.0,25.0,3507.0,0.094,1.04,0.064,0.169,0.041,54.0,267.4,0.038,0.172,1.3,0.007,0.189,70.0
ASTMA572GR50,NVD,104.0,1585.0,1505.0,132.0,1450.0,25.0,3859.0,0.091,1.02,0.0599,0.163,0.039,47.0,288.19,0.035,0.18,1.32,0.007,0.182,68.0
ASTMA572GR50,NVD,105.0,1590.0,1505.0,154.0,1500.0,25.0,3795.0,0.1,1.01,0.0529,0.166,0.075,54.0,164.0,0.028,0.187,1.32,0.007,0.195,67.0
ASTMA572GR50,NVD,101.0,1582.0,1505.0,132.0,1550.0,25.0,3964.0,0.081,0.73,0.068,0.108,0.034,54.0,289.51,0.034,0.191,1.36,0.0089,0.2,66.0
ASTMA572GR50,NVD,99.0,1565.0,1505.0,132.0,1700.0,25.0,3710.0,0.084,1.08,0.0709,0.1419,0.005,54.0,340.0,0.029,0.18,1.31,0.004,0.1809,67.0
ASTMA572GR50,NVD,100.0,1580.0,1505.0,132.0,1500.0,25.0,3506.0,0.101,1.0,0.0709,0.16,0.058,54.0,275.98,0.022,0.183,1.33,0.006,0.196,71.0
ASTMA572GR50,NVD,97.0,1575.0,1505.0,132.0,1700.0,25.0,3199.0,0.111,1.03,0.068,0.1779,0.076,54.0,234.4,0.032,0.179,1.31,0.006,0.1759,68.0
ASTMA572GR50,NVD,104.0,1575.0,1505.0,178.0,1505.0,25.0,3500.0,0.092,1.0,0.063,0.1749,0.119,54.0,227.6,0.036,0.173,1.33,0.0089,0.195,67.0
ASTMA572GR50,NVD,103.0,1575.0,1505.0,178.0,1650.0,25.0,4016.0,0.085,1.03,0.0719,0.157,0.067,54.0,287.0,0.042,0.178,1.35,0.01,0.183,67.0
ASTMA572GR50,NVD,101.0,1575.0,1505.0,178.0,1690.0,25.0,3647.0,0.097,1.01,0.069,0.1499,0.088,51.0,268.85,0.033,0.186,1.34,0.01,0.197,71.0
ASTMA572GR50,NVD,101.0,1575.0,1505.0,178.0,1850.0,25.0,3260.0,0.092,0.86,0.065,0.1469,0.1,54.0,250.04,0.044,0.179,1.33,0.008,0.187,67.0
